#;PIAN;Přesnost;PIAN - typ;PIAN - Základní mapa 1:10 000;x;y;GML;Identifikátor;Okres;Katastr;Další katastry;Vedoucí akce;Organizace;Specifikace data;Datum zahájeni;Datum ukončení;Hlavní typ;Vedlejší typ;Akce - lokalizace;Akce - nahrazuje NZ;Přístupnost
22;P-2423-100026;odchylka jednotky metrů;linie;24-23-09;49.491188;16.869133;"<LineString srsName=""EPSG:4326""><coordinates>16.8690716,49.492208 16.8691326,49.491835 16.8689647,49.4914419 16.8688686,49.4913866 16.8684618,49.4912375 16.8684869,49.491207 16.8688648,49.4913599 16.8689892,49.4913659 16.8691326,49.491188 16.8693417,49.4909965 16.8692862,49.4909504 16.8684618,49.4905872 16.8684794,49.4905496 16.869351,49.4909389 16.8694098,49.4909476 16.8698135,49.490782</coordinates></LineString>";M-201700712A;Prostějov;;;Fojtík, Pavel;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesné datum;22.09.2017;22.06.2018;jiná evidence;;;Ano;anonym
23;P-2423-010023;odchylka jednotky metrů;bod;24-23-09;49.49425;16.93068;"<Point srsName=""EPSG:4326""><coordinates>16.9306793,49.4942514</coordinates></Point>";M-201600645A;Prostějov;;;Fojtík, Pavel;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesné datum;05.08.2016;05.08.2016;skupina/síť sond;;;Ano;anonym
24;P-2423-100196;odchylka desítky metrů;bod;24-23-09;49.49868;16.894796;"<Point srsName=""EPSG:4326""><coordinates>16.8947968,49.498681</coordinates></Point>";M-9000696A;Prostějov;;;Čižmář, Miloš;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesné datum;15.07.1987;15.08.1987;plošný odkryv;;;Ne;anonym
25;P-2423-100193;odchylka stovky metrů;bod;24-23-09;49.498215;16.89562;"<Point srsName=""EPSG:4326""><coordinates>16.8956206,49.4982148</coordinates></Point>";M-9000691A;Prostějov;;;Čižmář, Miloš;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesně v letech;01.01.1984;31.12.1984;plošný odkryv;;;Ne;anonym
26;P-2423-100196;odchylka desítky metrů;bod;24-23-09;49.49868;16.894796;"<Point srsName=""EPSG:4326""><coordinates>16.8947968,49.498681</coordinates></Point>";M-9000693A;Prostějov;;;Čižmář, Miloš;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesně v letech;01.01.1985;31.12.1985;plošný odkryv;;;Ne;anonym
27;P-2423-100193;odchylka stovky metrů;bod;24-23-09;49.498215;16.89562;"<Point srsName=""EPSG:4326""><coordinates>16.8956206,49.4982148</coordinates></Point>";M-9000683A;Prostějov;;;Čižmář, Miloš;Archeologický ústav AV ČR, Brno, v. v. i.;přesné datum;15.07.1989;15.08.1990;skupina/síť sond;;;Ne;anonym
28;P-2423-100193;odchylka stovky metrů;bod;24-23-09;49.498215;16.89562;"<Point srsName=""EPSG:4326""><coordinates>16.8956206,49.4982148</coordinates></Point>";M-9000682A;Prostějov;;;Meduna, Jiří;Archeologický ústav AV ČR, Brno, v. v. i.;přesné datum;03.07.1972;13.09.1972;plošný odkryv;;;Ne;anonym
29;P-2423-100196;odchylka desítky metrů;bod;24-23-09;49.49868;16.894796;"<Point srsName=""EPSG:4326""><coordinates>16.8947968,49.498681</coordinates></Point>";M-9000688A;Prostějov;;;Čižmář, Miloš;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesně v letech;01.01.1983;31.12.1983;plošný odkryv;;;Ne;anonym
30;P-2423-100196;odchylka desítky metrů;bod;24-23-09;49.49868;16.894796;"<Point srsName=""EPSG:4326""><coordinates>16.8947968,49.498681</coordinates></Point>";M-9100132A;Prostějov;;;Čižmář, Miloš;Ústav archeologické památkové péče Brno, veřejná výzkumná instituce;přesné datum;01.07.1988;30.08.1988;skupina/síť sond;;;Ne;anonym
31;P-2423-100193;odchylka stovky metrů;bod;24-23-09;49.498215;16.89562;"<Point srsName=""EPSG:4326""><coordinates>16.8956206,49.4982148</coordinates></Point>";M-9000681A;Prostějov;;;Böhm, Jaroslav;Archeologický ústav AV ČR, Praha, v. v. i.;přesně v letech;01.01.1937;31.12.1937;plošný odkryv;;;Ne;anonym
32;P-2423-100193;odchylka stovky metrů;bod;24-23-09;49.498215;16.89562;"<Point srsName=""EPSG:4326""><coordinates>16.8956206,49.4982148</coordinates></Point>";M-9000680A;Prostějov;;;Böhm, Jaroslav;Archeologický ústav AV ČR, Praha, v. v. i.;přesně v letech;01.01.1936;31.12.1936;plošný odkryv;;;Ne;anonym
33;P-2423-100193;odchylka stovky metrů;bod;24-23-09;49.498215;16.89562;"<Point srsName=""EPSG:4326""><coordinates>16.8956206,49.4982148</coordinates></Point>";M-9000678A;Prostějov;;;Böhm, Jaroslav;Archeologický ústav AV ČR, Praha, v. v. i.;přesně v letech;01.01.1935;31.12.1935;plošný odkryv;;;Ne;anonym
