ident_cely_komponenty;ident_cely_akce;pian;obdobi;areal;x;y
M-9102967A-K002;M-9102967A;P-2424-100581;doba laténská;neurčený areál;49.46698;17.126234
M-9102948A-K001;M-9102948A;P-2443-100901;doba laténská;sídliště;49.169174;16.669672
M-9102930A-K004;M-9102930A;P-2443-100631;doba laténská;sídliště;49.164425;16.726673
M-9102923A-K012;M-9102923A;P-2434-102111;doba laténská;ojedinělý nález;49.185287;16.597061
M-9102923A-K014;M-9102923A;P-2434-102112;doba laténská;ojedinělý nález;49.185406;16.59651
M-9102923A-K022;M-9102923A;P-2434-102113;doba laténská;ojedinělý nález;49.185036;16.59677
M-9102882A-K003;M-9102882A;P-2441-100643;doba laténská;pohřebiště/hřbitov;49.268574;16.993597
M-9102796A-K006;M-9102796A;P-2424-100913;střední doba laténská (LtB–C1);sídliště;49.4667;17.15124
M-9102795A-K007;M-9102795A;P-2424-100540;doba laténská;sídliště;49.467873;17.14939
M-9102767A-K018;M-9102767A;P-2531-101169;střední doba laténská (LtB–C1);sídliště;49.20275;17.555002
M-9102767A-K019;M-9102767A;P-2531-101170;střední doba laténská (LtB–C1);sídliště;49.201942;17.55453
M-9102767A-K020;M-9102767A;P-2531-101172;střední doba laténská (LtB–C1);sídliště;49.20133;17.553234
M-9102717A-K002;M-9102717A;P-2444-100223;doba laténská;sídliště;49.18044;17.058844
M-9102717A-K004;M-9102717A;P-2444-100223;doba laténská;pohřební areál;49.18044;17.058844
M-9102714A-K003;M-9102714A;P-1443-100291;doba laténská;sídliště;49.767166;16.921549
M-9102652A-K001;M-9102652A;P-2423-100339;střední doba laténská (LtB–C1);ojedinělý nález;49.521133;16.962818
M-9102652A-K002;M-9102652A;P-2423-100339;mladší–pozdní doba laténská (LtC2–D);ojedinělý nález;49.521133;16.962818
M-9102584A-K006;M-9102584A;P-2433-100214;doba laténská;sídliště;49.02822;16.248346
M-9102576A-K003;M-9102576A;P-2442-100246;doba laténská;sídliště;49.32582;17.219217
M-9102582A-K002;M-9102582A;P-3411-100265;doba laténská;sídliště;48.978024;16.15954
M-9102554A-K001;M-9102554A;P-2443-100335;doba laténská;sídliště;49.16448;16.782322
M-9102544A-K002;M-9102544A;P-2444-100154;střední doba laténská (LtB–C1);sídliště;49.14972;17.122746
M-9102516A-K004;M-9102516A;P-2434-100988;doba laténská;sídliště;49.162407;16.620743
M-9102510A-K005;M-9102510A;P-2442-100370;doba laténská;pohřebiště/hřbitov;49.280426;17.071548
M-9102507A-K001;M-9102507A;P-2424-100505;doba laténská;sídliště;49.433647;17.207258
M-9102506A-K003;M-9102506A;P-3414-100127;doba laténská;ojedinělý nález;48.820442;16.42211
M-9102475A-K008;M-9102475A;P-2424-100535;doba laténská;sídliště;49.4678;17.151136
M-9102392A-K006;M-9102392A;P-2422-100503;časná doba laténská (LtA);sídliště;49.5583;17.246025
M-9102392A-K007;M-9102392A;P-2422-100503;střední doba laténská (LtB–C1);sídliště;49.5583;17.246025
M-9102414A-K008;M-9102414A;P-3411-100423;mladší–pozdní doba laténská (LtC2–D);sídliště;48.945873;16.312359
M-9102390A-K002;M-9102390A;P-2422-100599;doba laténská;sídliště;49.59379;17.218378
M-9102384A-K002;M-9102384A;P-2422-100835;doba laténská;neurčený areál;49.589043;17.255777
M-9102365A-K006;M-9102365A;P-3511-100332;doba laténská;sídliště;49.016132;17.352758
M-9102358A-K002;M-9102358A;P-3411-100247;doba laténská;sídliště;48.885685;16.045517
M-9102359A-K001;M-9102359A;P-2424-100596;doba laténská;neurčený areál;49.46659;17.125704
M-9102356A-K002;M-9102356A;P-2441-100639;doba laténská;sídliště;49.197697;16.878004
M-9102354A-K011;M-9102354A;P-2422-100541;doba laténská;sídliště;49.601177;17.205322
M-9102335A-K011;M-9102335A;P-3422-100084;doba laténská;sídliště;48.876293;17.245518
M-9102335A-K012;M-9102335A;P-3422-100085;doba laténská;sídliště;48.87531;17.24183
M-9102332A-K003;M-9102332A;P-2443-100630;časná doba laténská (LtA);sídliště;49.169403;16.72626
M-9102322A-K002;M-9102322A;P-2531-101035;doba laténská;sídliště;49.21534;17.571966
M-9102274A-K003;M-9102274A;P-2442-100394;časná doba laténská (LtA);sídliště;49.298527;17.010662
M-9102274A-K006;M-9102274A;P-2442-100394;střední doba laténská (LtB–C1);sídliště;49.298527;17.010662
M-9102274A-K007;M-9102274A;P-2442-100394;pozdní doba laténská (LtD);sídliště;49.298527;17.010662
M-9102230A-K002;M-9102230A;P-2424-100504;doba laténská;sídliště;49.37829;17.13309
M-9102233A-K004;M-9102233A;P-2434-100987;doba laténská;sídliště;49.161327;16.621748
M-9102218A-K002;M-9102218A;P-2432-100828;časná doba laténská (LtA);sídliště;49.262806;16.569324
M-9102218A-K003;M-9102218A;P-2432-100828;střední doba laténská (LtB–C1);sídliště;49.262806;16.569324
M-9102203A-K009;M-9102203A;P-2424-100537;doba laténská;sídliště;49.468266;17.146416
M-9102190A-K008;M-9102190A;P-2531-101168;střední doba laténská (LtB–C1);sídliště;49.201675;17.555637
M-9101956A-K009;M-9101956A;P-2422-100452;doba laténská;sídliště;49.605637;17.242271
M-9102170A-K003;M-9102170A;P-2442-100382;doba laténská;sídliště;49.287636;17.087938
M-9101964A-K002;M-9101964A;P-3413-100103;doba laténská;sídliště;48.769817;16.292225
M-9101935A-K002;M-9101935A;P-2434-100985;časná doba laténská (LtA);sídliště;49.16105;16.61899
M-9101916A-K003;M-9101916A;P-3413-100117;doba laténská;sídliště;48.760723;16.248043
M-9101808A-K003;M-9101808A;P-2422-100613;střední doba laténská (LtB–C1);sídliště;49.59388;17.218102
M-9101808A-K005;M-9101808A;P-2422-100613;časná doba laténská (LtA);sídliště;49.59388;17.218102
M-9101857A-K003;M-9101857A;P-2511-100043;pozdní doba laténská (LtD);sídliště;49.54423;17.567043
M-9101857A-K004;M-9101857A;P-2511-100043;střední doba laténská (LtB–C1);sídliště;49.54423;17.567043
M-9101857A-K005;M-9101857A;P-2511-100043;mladší–pozdní doba laténská (LtC2–D);sídliště;49.54423;17.567043
M-9101807A-K002;M-9101807A;P-2422-100614;střední doba laténská (LtB–C1);sídliště;49.594242;17.216993
M-9101807A-K003;M-9101807A;P-2422-100614;časná doba laténská (LtA);sídliště;49.594242;17.216993
M-9101804A-K002;M-9101804A;P-2422-100642;časná doba laténská (LtA);sídliště;49.5942;17.216993
M-9101804A-K003;M-9101804A;P-2422-100642;pozdní doba laténská (LtD);sídliště;49.5942;17.216993
M-9101738A-K002;M-9101738A;P-2533-101111;doba laténská;sídliště;49.037743;17.54667
M-9101716A-K001;M-9101716A;P-2513-100516;doba laténská;sídliště;49.471695;17.387016
M-9101716A-K003;M-9101716A;P-2513-100517;doba laténská;sídliště;49.472622;17.392532
M-9101736A-K001;M-9101736A;P-3321-100112;doba laténská;sídliště;48.953667;15.626273
M-9101728A-K002;M-9101728A;P-2422-100531;doba laténská;sídliště;49.5817;17.248667
M-9101712A-K002;M-9101712A;P-2422-101088;pozdní doba laténská (LtD);sídliště;49.563694;17.110525
M-9101706A-K014;M-9101706A;P-2422-100631;střední doba laténská (LtB–C1);sídliště;49.57504;17.228865
M-9101640A-K007;M-9101640A;P-2442-100398;doba laténská;sídliště;49.300827;17.011068
M-9101639A-K003;M-9101639A;P-2442-100399;doba laténská;sídliště;49.29787;17.011715
M-9101611A-K009;M-9101611A;P-2424-100483;doba laténská;pohřebiště/hřbitov;49.4722;17.171474
M-9101636A-K001;M-9101636A;P-2442-100392;doba laténská;sídliště;49.26928;17.01199
M-9101604A-K003;M-9101604A;P-3413-100100;doba laténská;sídliště;48.847004;16.085598
M-9101601A-K005;M-9101601A;P-2424-100501;doba laténská;sídliště;49.483723;17.129148
M-9101600A-K002;M-9101600A;P-3422-100072;doba laténská;neurčený areál;48.920933;17.08713
M-9101599A-K001;M-9101599A;P-2443-100045;doba laténská;sídliště;49.14089;16.703922
M-9101587A-K004;M-9101587A;P-2443-100578;doba laténská;sídliště;49.175957;16.80682
M-9101549A-K004;M-9101549A;P-2432-100850;doba laténská;sídliště;49.22675;16.597425
M-9101480A-K003;M-9101480A;P-2422-100616;střední doba laténská (LtB–C1);sídliště;49.593697;17.218515
M-9101480A-K008;M-9101480A;P-2422-100616;pozdní doba laténská (LtD);sídliště;49.593697;17.218515
M-9101390A-K006;M-9101390A;P-2422-100628;střední doba laténská (LtB–C1);pohřebiště/hřbitov;49.56889;17.214228
M-9101383A-K001;M-9101383A;P-2434-100873;doba laténská;sídliště;49.15476;16.52718
M-9101376A-K002;M-9101376A;P-2443-100641;doba laténská;sídliště;49.1558;16.737902
M-9101363A-K002;M-9101363A;P-2434-102155;doba laténská;sídliště;49.19027;16.61499
M-9101350A-K003;M-9101350A;P-2443-100600;doba laténská;sídliště;49.1873;16.851597
M-9101324A-K003;M-9101324A;P-2424-100495;doba laténská;sídliště;49.41584;17.075903
M-9101309A-K003;M-9101309A;P-2514-100233;pozdní doba laténská (LtD);sídliště;49.37573;17.69816
M-9101304A-K002;M-9101304A;P-2424-100509;doba laténská;sídliště;49.449215;17.255758
M-9101240A-K006;M-9101240A;P-2423-100247;pozdní doba laténská (LtD);sídliště;49.526474;16.956043
M-9101235A-K007;M-9101235A;P-2424-100601;doba laténská;sídliště;49.44142;17.06046
M-9101235A-K003;M-9101235A;P-2424-100602;střední doba laténská (LtB–C1);sídliště;49.442318;17.056746
M-9101217A-K002;M-9101217A;P-2434-100883;doba laténská;sídliště;49.176533;16.503838
M-9101198A-K001;M-9101198A;P-2442-100401;časná doba laténská (LtA);sídliště;49.29512;17.013927
M-9101166A-K003;M-9101166A;P-2434-100123;časná doba laténská (LtA);sídliště;49.177834;16.533846
M-9101145A-K001;M-9101145A;P-2443-100573;doba laténská;sídliště;49.177116;16.809849
M-9101140A-K006;M-9101140A;P-2434-100103;doba laténská;neurčený areál;49.15988;16.621956
M-9101119A-K002;M-9101119A;P-2424-100515;doba laténská;sídliště;49.51582;17.064583
M-9101106A-K004;M-9101106A;P-2531-101181;doba laténská;sídliště;49.20323;17.564175
M-9101102A-K002;M-9101102A;P-2443-100358;doba laténská;sídliště;49.068203;16.687931
M-9101090A-K005;M-9101090A;P-2434-100710;doba laténská;sídliště;49.126743;16.619076
M-9106823A-K001;M-9106823A;P-2434-900015;doba laténská;neurčený areál;49.12631;16.65476
M-9126370A-K001;M-9126370A;P-2541-100060;pozdní doba laténská (LtD);neurčený areál;49.231377;18.08217
M-9123459A-K001;M-9123459A;P-2434-101414;doba laténská;pohřební areál;49.166866;16.653263
M-9000156A-K002;M-9000156A;P-2414-100517;doba laténská;sídliště;49.435295;16.585613
M-9001849A-K002;M-9001849A;P-2443-100048;doba laténská;neurčený areál;49.127014;16.664593
M-9001403A-K003;M-9001403A;P-3511-100312;doba laténská;sídliště;49.020004;17.35492
M-9001229A-K005;M-9001229A;P-2514-100219;doba laténská;sídliště;49.378494;17.701145
M-9001327A-K001;M-9001327A;P-3422-100047;doba laténská;sídliště;48.971977;17.08654
M-9000990A-K001;M-9000990A;P-2441-100549;doba laténská;sídliště;49.212788;16.903736
M-9001003A-K001;M-9001003A;P-2443-100457;doba laténská;pohřebiště/hřbitov;49.069508;16.852995
M-9000696A-K001;M-9000696A;P-2423-100196;doba laténská;hrazené sídliště;49.49868;16.894796
M-9000691A-K001;M-9000691A;P-2423-100193;doba laténská;hrazené sídliště;49.498215;16.89562
M-9001414A-K006;M-9001414A;P-2531-101194;doba laténská;sídliště;49.203453;17.571606
M-9000558A-K006;M-9000558A;P-3421-100243;doba laténská;sídliště;48.863945;16.708134
M-9000500A-K004;M-9000500A;P-3421-100253;doba laténská;sídliště;48.907238;16.676636
M-9000415A-K003;M-9000415A;P-3423-100192;doba laténská;ojedinělý nález;48.79706;16.672596
M-9000366A-K005;M-9000366A;P-3423-100167;doba laténská;ojedinělý nález;48.725796;16.94827
M-9000352A-K004;M-9000352A;P-3412-100231;doba laténská;sídliště;48.88418;16.571634
M-9000373A-K003;M-9000373A;P-3423-100170;doba laténská;ojedinělý nález;48.735695;16.976967
M-9000268A-K007;M-9000268A;P-3421-100218;doba laténská;sídliště;48.997383;16.723724
C-9148973A-K001;C-9148973A;P-2314-010009;doba laténská;depot;49.41829;15.085965
M-9000180A-K001;M-9000180A;P-2434-100634;doba laténská;pohřebiště/hřbitov;49.053165;16.659735
C-9122201A-K001;C-9122201A;P-2321-010139;doba laténská;pohřební areál;49.5758;15.529309
C-9122274A-K001;C-9122274A;P-1343-010009;doba laténská;hradiště;49.83971;15.532751
C-9122049A-K001;C-9122049A;P-2321-900007;doba laténská;ojedinělý nález;49.610676;15.584001
M-9101885A-K005;M-9101885A;P-2424-100535;časná doba laténská (LtA);sídliště;49.4678;17.151136
M-9102977A-K004;M-9102977A;P-3511-100334;doba laténská;sídliště;49.01664;17.351088
M-9000154A-K004;M-9000154A;P-2414-100517;doba laténská;sídliště;49.435295;16.585613
M-9113299A-K001;M-9113299A;P-2434-101414;doba laténská;pohřební areál;49.166866;16.653263
M-9001326A-K001;M-9001326A;P-3422-100047;doba laténská;sídliště;48.971977;17.08654
M-9000693A-K001;M-9000693A;P-2423-100196;doba laténská;hrazené sídliště;49.49868;16.894796
M-9000683A-K001;M-9000683A;P-2423-100193;doba laténská;hrazené sídliště;49.498215;16.89562
C-9122273A-K001;C-9122273A;P-1343-010009;doba laténská;hradiště;49.83971;15.532751
M-9000497A-K004;M-9000497A;P-3421-100253;doba laténská;sídliště;48.907238;16.676636
M-9000688A-K001;M-9000688A;P-2423-100196;doba laténská;hrazené sídliště;49.49868;16.894796
M-9000682A-K001;M-9000682A;P-2423-100193;doba laténská;hrazené sídliště;49.498215;16.89562
M-9000681A-K001;M-9000681A;P-2423-100193;doba laténská;hrazené sídliště;49.498215;16.89562
M-9000680A-K001;M-9000680A;P-2423-100193;doba laténská;hrazené sídliště;49.498215;16.89562
M-9000678A-K001;M-9000678A;P-2423-100193;doba laténská;hrazené sídliště;49.498215;16.89562
