ident_cely_komponenty;ident_cely_akce;pian;obdobi;areal;x;y
M-9000671A-K001;M-9000671A;P-2423-100190;doba laténská;hrazené sídliště;49.498608;16.894438
M-9000667A-K001;M-9000667A;P-2423-100189;doba laténská;hrazené sídliště;49.498177;16.895947
M-9000664A-K001;M-9000664A;P-2423-100188;doba laténská;hrazené sídliště;49.49811;16.896038
M-9000642A-K005;M-9000642A;P-2442-100230;doba laténská;sídliště;49.344917;17.214478
M-9000641A-K001;M-9000641A;P-2423-100187;doba laténská;sídliště;49.498077;16.895798
M-9000636A-K002;M-9000636A;P-1443-100206;doba laténská;sídliště;49.76683;16.919163
M-9000640A-K001;M-9000640A;P-2423-100186;doba laténská;sídliště;49.498238;16.895613
M-9000632A-K001;M-9000632A;P-1443-100205;doba laténská;sídliště;49.768322;16.917414
M-9000630A-K003;M-9000630A;P-1443-100204;doba laténská;sídliště;49.769253;16.916899
M-9000629A-K003;M-9000629A;P-1443-100201;doba laténská;pohřebiště/hřbitov;49.766937;16.920118
M-9000629A-K006;M-9000629A;P-1443-100202;doba laténská;pohřebiště/hřbitov;49.766937;16.92115
M-9000629A-K009;M-9000629A;P-1443-100203;doba laténská;pohřebiště/hřbitov;49.766926;16.922134
M-9000620A-K001;M-9000620A;P-2424-100733;doba laténská;izolovaný pohřeb;49.462097;17.061756
M-9002179A-K007;M-9002179A;P-1443-100356;doba laténská;neurčený areál;49.775482;16.953936
M-9000616A-K003;M-9000616A;P-2424-100639;doba laténská;sídliště;49.467857;17.07291
M-9001415A-K004;M-9001415A;P-2531-101194;doba laténská;sídliště;49.203453;17.571606
M-9000611A-K007;M-9000611A;P-2424-100634;doba laténská;sídliště;49.518543;17.031372
M-9000602A-K001;M-9000602A;P-2532-100364;doba laténská;sídliště;49.245495;17.85206
M-9000602A-K003;M-9000602A;P-2532-100365;doba laténská;sídliště;49.24557;17.85203
M-9000602A-K005;M-9000602A;P-2532-100366;doba laténská;sídliště;49.245495;17.851912
M-202103966A-K002;M-202103966A;P-3412-100275;doba laténská;sídliště;48.92162;16.655666
